îN,åé,ì˙,éûÅiUTCÅj,ë‰ïóî‘çÜ,ë‰ïóñº,äKãâ,à‹ìx,åoìx,íÜêSãCà≥,ç≈ëÂïóë¨,50KTí∑åaï˚å¸,50KTí∑åa,50KTíZåa,30KTí∑åaï˚å¸,30KTí∑åa,30KTíZåa,è„ó§
2015,1,13,0,1501,MEKKHALA,2,8.7,142.9,1006,0,0,0,0,0,0,0,0
2015,1,13,6,1501,MEKKHALA,2,8.5,142.4,1004,0,0,0,0,0,0,0,0
2015,1,13,12,1501,MEKKHALA,3,8.6,141.7,1002,35,0,0,0,8,210,150,0
2015,1,13,18,1501,MEKKHALA,3,9.2,140.7,1002,35,0,0,0,8,210,150,0
2015,1,14,0,1501,MEKKHALA,3,10.1,139.5,1002,35,0,0,0,8,180,150,0
2015,1,14,6,1501,MEKKHALA,3,10.3,138.4,1000,35,0,0,0,8,180,150,0
2015,1,14,12,1501,MEKKHALA,3,10.9,137.1,1000,35,0,0,0,8,180,150,0
2015,1,14,18,1501,MEKKHALA,3,11.3,135.6,1000,35,0,0,0,8,180,150,0
2015,1,15,0,1501,MEKKHALA,3,11.4,134.2,998,35,0,0,0,8,180,150,0
2015,1,15,6,1501,MEKKHALA,3,11.6,133.2,996,35,0,0,0,8,180,150,0
2015,1,15,12,1501,MEKKHALA,3,11.7,132.7,994,40,0,0,0,8,180,150,0
2015,1,15,18,1501,MEKKHALA,3,11.6,131.7,992,40,0,0,0,8,180,150,0
2015,1,16,0,1501,MEKKHALA,3,11.3,130.7,990,45,0,0,0,8,210,150,0
2015,1,16,6,1501,MEKKHALA,4,11.3,129.3,985,50,0,0,0,8,210,150,0
2015,1,16,12,1501,MEKKHALA,4,11.2,128.5,980,50,0,0,0,8,210,150,0
2015,1,16,18,1501,MEKKHALA,4,11.0,127.5,975,60,9,50,50,8,210,150,0
2015,1,17,0,1501,MEKKHALA,4,11.4,126.7,975,60,9,50,50,8,210,150,0
2015,1,17,6,1501,MEKKHALA,4,11.9,126.0,975,60,9,50,50,8,210,120,0
2015,1,17,12,1501,MEKKHALA,3,12.4,125.2,990,45,0,0,0,8,210,120,0
2015,1,17,18,1501,MEKKHALA,3,12.7,124.3,992,40,0,0,0,1,210,120,0
2015,1,18,0,1501,MEKKHALA,3,13.5,123.6,996,35,0,0,0,1,180,90,0
2015,1,18,6,1501,MEKKHALA,3,13.9,122.9,996,35,0,0,0,1,150,90,0
2015,1,18,12,1501,MEKKHALA,3,14.8,122.6,1000,35,0,0,0,1,150,90,0
2015,1,18,18,1501,MEKKHALA,2,16.0,122.5,1004,0,0,0,0,0,0,0,0
2015,1,19,0,1501,MEKKHALA,2,16.6,122.8,1010,0,0,0,0,0,0,0,0
2015,1,19,6,1501,MEKKHALA,2,16.8,123.1,1010,0,0,0,0,0,0,0,0
2015,1,19,12,1501,MEKKHALA,2,16.8,123.3,1012,0,0,0,0,0,0,0,0
2015,1,19,18,1501,MEKKHALA,2,16.8,123.9,1012,0,0,0,0,0,0,0,0
2015,1,20,0,1501,MEKKHALA,2,16.8,124.4,1012,0,0,0,0,0,0,0,0
2015,1,20,6,1501,MEKKHALA,2,16.9,124.7,1012,0,0,0,0,0,0,0,0
2015,1,20,12,1501,MEKKHALA,2,17.0,125.0,1012,0,0,0,0,0,0,0,0
2015,1,20,18,1501,MEKKHALA,2,17.3,125.2,1012,0,0,0,0,0,0,0,0
2015,2,6,12,1502,HIGOS,2,8.6,158.3,1008,0,0,0,0,0,0,0,0
2015,2,6,18,1502,HIGOS,2,9.1,157.9,1006,0,0,0,0,0,0,0,0
2015,2,7,0,1502,HIGOS,2,9.7,157.7,1004,0,0,0,0,0,0,0,0
2015,2,7,6,1502,HIGOS,2,10.3,157.4,1004,0,0,0,0,0,0,0,0
2015,2,7,12,1502,HIGOS,2,10.8,157.5,1004,0,0,0,0,0,0,0,0
2015,2,7,18,1502,HIGOS,3,11.6,157.5,1000,35,0,0,0,8,180,120,0
2015,2,8,0,1502,HIGOS,3,11.9,157.3,996,40,0,0,0,8,210,120,0
2015,2,8,6,1502,HIGOS,3,12.0,157.0,990,45,0,0,0,8,210,120,0
2015,2,8,12,1502,HIGOS,3,11.9,156.9,990,45,0,0,0,8,210,120,0
2015,2,8,18,1502,HIGOS,4,11.9,156.7,985,50,0,0,0,8,180,120,0
2015,2,9,0,1502,HIGOS,4,12.1,156.4,985,50,0,0,0,8,150,120,0
2015,2,9,6,1502,HIGOS,4,12.3,156.1,980,55,9,40,40,8,150,120,0
2015,2,9,12,1502,HIGOS,4,12.6,155.7,975,60,9,50,50,1,150,120,0
2015,2,9,18,1502,HIGOS,5,13.0,155.2,965,70,9,50,50,1,150,120,0
2015,2,10,0,1502,HIGOS,5,13.6,154.7,955,80,9,60,60,1,150,120,0
2015,2,10,6,1502,HIGOS,5,14.2,154.2,940,90,9,60,60,1,150,120,0
