年月日,平均気温,,
2016/8/1,27.9,8,1
2016/8/2,26.5,8,1
2016/8/3,27.9,8,1
2016/8/4,29.0,8,1
2016/8/5,29.3,8,1
2016/8/6,29.8,8,1
2016/8/7,29.5,8,1
2016/8/8,31.0,8,1
2016/8/9,30.1,8,1
2016/8/10,28.9,8,1
2016/8/11,28.5,8,1
2016/8/12,28.3,8,1
2016/8/13,28.4,8,1
2016/8/14,28.0,8,1
2016/8/15,27.9,8,1
2016/8/16,29.8,8,1
2016/8/17,30.9,8,1
2016/8/18,29.3,8,1
2016/8/19,29.6,8,1
2016/8/20,29.6,8,1
2016/8/21,29.1,8,1
2016/8/22,30.9,8,1
2016/8/23,30.4,8,1
2016/8/24,27.8,8,1
2016/8/25,28.1,8,1
2016/8/26,28.9,8,1
2016/8/27,26.6,8,1
2016/8/28,25.3,8,1
2016/8/29,26.9,8,1
2016/8/30,24.3,8,1
2016/8/31,26.8,8,1
2016/9/1,27.4,8,1
2016/9/2,27.9,8,1
2016/9/3,28.7,8,1
2016/9/4,28.9,8,1
2016/9/5,25.8,8,1
2016/9/6,26.6,8,1
2016/9/7,28.2,8,1
2016/9/8,25.8,8,1
2016/9/9,25.6,8,1
2016/9/10,25.9,8,1
2016/9/11,26.3,8,1
2016/9/12,25.8,8,1
2016/9/13,24.7,8,1
2016/9/14,26.3,8,1
2016/9/15,25.4,8,1
2016/9/16,25.0,8,1
2016/9/17,26.0,8,1
2016/9/18,24.9,8,1
2016/9/19,24.6,8,1
2016/9/20,21.6,8,1
2016/9/21,22.0,8,1
2016/9/22,21.9,8,1
2016/9/23,23.2,8,1
2016/9/24,22.0,8,1
2016/9/25,24.8,8,1
2016/9/26,25.5,8,1
2016/9/27,26.4,8,1
2016/9/28,25.0,8,1
2016/9/29,23.9,8,1
2016/9/30,21.3,8,1
2016/10/1,23.5,8,1
2016/10/2,25.1,8,1
2016/10/3,23.4,8,1
2016/10/4,23.8,8,1
2016/10/5,23.5,8,1
2016/10/6,23.5,8,1
2016/10/7,21.7,8,1
2016/10/8,22.9,8,1
2016/10/9,20.7,8,1
2016/10/10,18.7,8,1
2016/10/11,18.7,8,1
2016/10/12,18.9,8,1
2016/10/13,17.1,8,1
2016/10/14,16.8,8,1
2016/10/15,17.7,8,1
2016/10/16,19.6,8,1
2016/10/17,19.6,8,1
2016/10/18,22.5,8,1
2016/10/19,22.4,8,1
2016/10/20,22.5,8,1
2016/10/21,19.0,8,1
2016/10/22,18.9,8,1
2016/10/23,18.8,8,1
2016/10/24,16.7,8,1
2016/10/25,13.7,8,1
2016/10/26,19.9,8,1
2016/10/27,18.5,8,1
2016/10/28,15.0,8,1
2016/10/29,17.6,8,1
2016/10/30,14.4,8,1
2016/10/31,14.4,8,1
2016/11/1,13.8,8,1
2016/11/2,13.3,8,1
2016/11/3,13.1,8,1
2016/11/4,13.2,8,1
2016/11/5,13.5,8,1
2016/11/6,14.5,8,1
2016/11/7,13.3,8,1
2016/11/8,14.3,8,1
2016/11/9,10.0,8,1
2016/11/10,9.9,8,1
2016/11/11,14.0,8,1
2016/11/12,14.1,8,1
2016/11/13,15.0,8,1
2016/11/14,13.6,8,1
2016/11/15,15.6,8,1
2016/11/16,11.5,8,1
2016/11/17,12.1,8,1
2016/11/18,11.5,8,1
2016/11/19,13.7,8,1
2016/11/20,16.4,8,1
2016/11/21,14.5,8,1
2016/11/22,16.4,8,1
2016/11/23,12.4,8,1
2016/11/24,8.5,8,1
2016/11/25,8.5,8,1
2016/11/26,10.2,8,1
2016/11/27,11.1,8,1
2016/11/28,11.0,8,1
2016/11/29,9.5,8,1
2016/11/30,8.2,8,1
2016/12/1,12.0,8,1
2016/12/2,11.0,8,1
2016/12/3,9.8,8,1
2016/12/4,10.8,8,1
2016/12/5,13.2,8,1
2016/12/6,9.7,8,1
2016/12/7,7.6,8,1
2016/12/8,8.5,8,1
2016/12/9,9.0,8,1
2016/12/10,7.5,8,1
2016/12/11,5.7,8,1
2016/12/12,5.7,8,1
2016/12/13,7.0,8,1
2016/12/14,8.7,8,1
2016/12/15,5.3,8,1
2016/12/16,4.3,8,1
2016/12/17,5.4,8,1
2016/12/18,7.9,8,1
2016/12/19,9.3,8,1
2016/12/20,8.9,8,1
2016/12/21,9.6,8,1
2016/12/22,12.2,8,1
2016/12/23,10.5,8,1
2016/12/24,7.7,8,1
2016/12/25,7.4,8,1
2016/12/26,7.8,8,1
2016/12/27,9.4,8,1
2016/12/28,4.9,8,1
2016/12/29,4.8,8,1
2016/12/30,5.1,8,1
2016/12/31,5.6,8,1
2017/1/1,7.4,8,1
2017/1/2,7.6,8,1
2017/1/3,8.6,8,1
2017/1/4,6.9,8,1
2017/1/5,5.8,8,1
2017/1/6,4.9,8,1
2017/1/7,5.4,8,1
2017/1/8,4.4,8,1
2017/1/9,8.1,8,1
2017/1/10,7.4,8,1
2017/1/11,4.9,8,1
2017/1/12,5.2,8,1
2017/1/13,4.4,8,1
2017/1/14,0.2,8,1
2017/1/15,-0.4,8,1
2017/1/16,1.8,8,1
2017/1/17,3.4,8,1
2017/1/18,4.2,8,1
2017/1/19,5.8,8,1
2017/1/20,3.9,8,1
2017/1/21,4.6,8,1
2017/1/22,4.0,8,1
2017/1/23,2.0,8,1
2017/1/24,1.0,8,1
2017/1/25,2.2,8,1
2017/1/26,3.5,8,1
2017/1/27,5.3,8,1
2017/1/28,6.5,8,1
2017/1/29,6.8,8,1
2017/1/30,7.5,8,1
2017/1/31,4.1,8,1
2017/2/1,3.2,8,1
2017/2/2,4.0,8,1
2017/2/3,5.8,8,1
2017/2/4,6.6,8,1
2017/2/5,4.4,8,1
2017/2/6,6.2,8,1
2017/2/7,3.6,8,1
2017/2/8,4.4,8,1
2017/2/9,3.2,8,1
2017/2/10,3.6,8,1
2017/2/11,1.1,8,1
2017/2/12,2.8,8,1
2017/2/13,3.4,8,1
2017/2/14,3.3,8,1
2017/2/15,4.7,8,1
2017/2/16,6.8,8,1
2017/2/17,7.1,8,1
2017/2/18,7.2,8,1
